Solution,Category,Specific Requirements,MSP Owned,Shared,MSP Augmented,MGRC Owned,Decline to Bid,Bid As Specified,Bid As Modified,MSP Comments
"Customer Hub (Customer Self-Service Portal, Custom Application)",Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions and API/integration issues across modules and related components.",Yes,No,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Integration & Connectivity Support,Monitoring and error handling for integrations and other connected systems; coordination with middleware teams for API and data‑flow issues.,No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, data loads and quality, governor limits, SLA accounting, cross-module dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",Yes,No,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)","Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices. Services also include optimizing analytics, dashboards, KPIs, and reporting, and delivering recommendations to improve usability, efficiency, scalability, and operational effectiveness, prioritized against business objectives and delivered through governed, repeatable approaches.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Disaster Recovery & Backup Support,"Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",No,Yes,No,No,,No,No,
"Customer Hub (Customer Self-Service Portal, Custom Application)",Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",No,Yes,No,No,,No,No,
Azure Devops,Administration & Configuration,"Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",No,Yes,No,No,No,No,No,
Azure Devops,General,"MSP will provide management and operational support for Azure environments, including provisioning, monitoring, incident response, patching, backup and disaster recovery, and capacity management during US business hours. MSP will be responsible for implementing and maintaining Azure best practices across security, networking, identity, governance, and high availability, including vulnerability management and compliance with internal security standards. Support also includes continuous cost optimization, performance tuning, automation, and proactive recommendations to improve reliability, scalability, and cloud spend efficiency.MSP will also provide DEVops services for Azure and OCI",No,Yes,No,No,,No,No,
Azure Devops,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions across resources and integrations. As needed, manage SR process with solution provider.",No,Yes,No,No,,No,No,
Azure Devops,Release & Deployment Management,-,No,Yes,No,No,,No,No,
Azure Devops,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",No,Yes,No,No,,No,No,
Azure Devops,Integration & Connectivity Support,Monitoring and error handling for integrations and other connected systems; trouble shoot and coordinate connectivity issue resolution.,No,Yes,No,No,,No,No,
Azure Devops,Performance & Health Monitoring & Optimization,"Proactive checks on automation, action groups, compute sizing, autoscale rules to ensure optimal system stability and performance; recommendations to improve stability and scalability.",No,Yes,No,No,,No,No,
Azure Devops,Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",No,Yes,No,No,,No,No,
Azure Devops,"Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices.",No,No,Yes,No,,No,No,
Azure Devops,Disaster Recovery & Backup Support,"Configure Azure Backup and manage Azure Site Recovery as needed for failover. Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",No,Yes,No,No,,No,No,
Azure Devops,Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",No,Yes,No,No,,No,No,
Azure Devops,Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",No,Yes,No,No,,No,No,
